,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,short_name,long_name,age,height_cm,weight_kg,nationality,overall,potential,value_eur,wage_eur,team_position
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L. Messi,Lionel Andrés Messi Cuccittini,32,170,72,Argentina,94,94,95500000,565000,RW
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,187,83,Portugal,93,93,58500000,405000,LW
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Neymar Jr,Neymar da Silva Santos Junior,27,175,68,Brazil,92,92,105500000,290000,CAM
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,E. Hazard,Eden Hazard,28,175,74,Belgium,91,91,90000000,470000,LW
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,K. De Bruyne,Kevin De Bruyne,28,181,70,Belgium,91,91,90000000,370000,RCM
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,V. van Dijk,Virgil van Dijk,27,193,92,Netherlands,90,91,78000000,200000,LCB
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,L. Modrić,Luka Modrić,33,172,66,Croatia,90,90,45000000,340000,RCM
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,M. Salah,Mohamed  Salah Ghaly,27,175,71,Egypt,90,90,80500000,240000,RW
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,K. Mbappé,Kylian Mbappé,20,178,73,France,89,95,93500000,155000,RW
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,K. Koulibaly,Kalidou Koulibaly,28,187,89,Senegal,89,91,67500000,150000,LCB
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,H. Kane,Harry Kane,25,188,89,England,89,91,83000000,220000,ST
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,N. Kanté,N'Golo Kanté,28,168,72,France,89,90,66000000,235000,RCM
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,G. Chiellini,Giorgio Chiellini,34,187,85,Italy,89,89,24500000,215000,LCB
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,S. Agüero,Sergio Leonel Agüero del Castillo,31,173,70,Argentina,89,89,60000000,300000,ST
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,Sergio Ramos,Sergio Ramos García,33,184,82,Spain,89,89,31500000,300000,LCB
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,L. Suárez,Luis Alberto Suárez Díaz,32,182,86,Uruguay,89,89,53000000,355000,ST
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,R. Lewandowski,Robert Lewandowski,30,184,80,Poland,89,89,64500000,235000,ST
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,Sergio Busquets,Sergio Busquets i Burgos,30,189,76,Spain,89,89,55000000,300000,CDM
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,22,A. Griezmann,Antoine Griezmann,28,176,73,France,89,89,69000000,370000,LW
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,P. Dybala,Paulo Bruno Exequiel Dybala,25,177,75,Argentina,88,92,76500000,215000,RW
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,P. Pogba,Paul Pogba,26,191,84,France,88,91,72500000,250000,LDM
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,26,R. Sterling,Raheem Sterling,24,170,69,England,88,90,73000000,255000,LW
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,27,C. Eriksen,Christian  Dannemann Eriksen,27,181,76,Denmark,88,89,68000000,205000,RM
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,29,Piqué,Gerard Piqué Bernabéu,32,194,85,Spain,88,88,38000000,285000,RCB
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,33,David Silva,David Josué Jiménez Silva,33,173,67,Spain,88,88,36000000,265000,LCM
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,34,E. Cavani,Edinson Roberto Cavani Gómez,32,185,77,Uruguay,88,88,47000000,195000,ST
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,35,D. Godín,Diego Godín,33,187,78,Uruguay,88,88,28000000,135000,RCB
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,T. Kroos,Toni Kroos,29,183,76,Germany,88,88,57000000,330000,LCM
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,37,M. Reus,Marco Reus,30,180,71,Germany,88,88,56000000,170000,CAM
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,38,P. Aubameyang,Pierre-Emerick Aubameyang,30,187,80,Gabon,88,88,57000000,205000,LM
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,39,S. Mané,Sadio Mané,27,175,69,Senegal,88,88,62000000,220000,LW
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,40,A. Laporte,Aymeric  Laporte,25,189,85,France,87,90,56500000,195000,LCB
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,41,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,173,64,Portugal,87,90,64000000,210000,RW
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,42,Casemiro,Carlos Henrique Venancio Casimiro,27,185,84,Brazil,87,89,53500000,240000,CDM
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,43,H. Son,손흥민 孙兴慜,26,183,78,Korea Republic,87,88,60000000,185000,LM
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,44,Fernandinho,Fernando Luiz Rosa,34,179,67,Brazil,87,87,19500000,200000,CDM
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,45,Thiago Silva,Thiago Emiliano da Silva,34,183,82,Brazil,87,87,18500000,135000,LCB
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,46,K. Benzema,Karim Benzema,31,185,81,France,87,87,45000000,285000,CF
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,47,J. Vertonghen,Jan Vertonghen,32,189,86,Belgium,87,87,32500000,155000,LCB
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,48,D. Mertens,Dries Mertens,32,169,61,Belgium,87,87,40000000,135000,SUB
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,49,M. Hummels,Mats  Hummels,30,191,94,Germany,87,87,41000000,130000,LCB
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,50,T. Alderweireld,Toby Alderweireld,30,186,81,Belgium,87,87,41000000,155000,RCB
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,51,Jordi Alba,Jordi Alba Ramos,30,170,68,Spain,87,87,40000000,240000,LB
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,52,Thiago,Thiago Alcântara do Nascimento,28,174,70,Spain,87,87,50000000,180000,CDM
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,53,K. Navas,Keylor Navas,32,185,80,Costa Rica,87,87,30500000,195000,SUB
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,54,L. Insigne,Lorenzo Insigne,28,163,59,Italy,87,87,52000000,140000,LS
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,55,L. Sané,Leroy Sané,23,183,75,Germany,86,92,61000000,195000,SUB
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,56,Marquinhos,Marcos  Aoás Corrêa,25,183,75,Brazil,86,90,51500000,120000,RCB
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,57,M. Škriniar,Milan Škriniar,24,187,80,Slovakia,86,90,52000000,89000,LCB
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,58,M. Verratti,Marco Verratti,26,165,60,Italy,86,89,54500000,140000,RCM
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,59,S. Umtiti,Samuel Umtiti,25,182,75,France,86,89,50000000,210000,SUB
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,61,J. Kimmich,Joshua Kimmich,24,176,73,Germany,86,88,48000000,125000,RB
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,62,Isco,Francisco Román Alarcón Suárez,27,176,79,Spain,86,87,51000000,245000,SUB
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,63,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,181,76,Brazil,86,87,52000000,170000,CF
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,64,I. Rakitić,Ivan Rakitić,31,184,78,Croatia,86,86,38000000,245000,RCM
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,65,M. Pjanić,Miralem Pjanić,29,178,72,Bosnia Herzegovina,86,86,42500000,180000,CDM
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,66,A. Di María,Ángel Fabián Di María Hernández,31,180,69,Argentina,86,86,39000000,150000,LW
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,67,L. Bonucci,Leonardo Bonucci,32,190,85,Italy,86,86,28500000,160000,RCB
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,68,Coutinho,Philippe Coutinho Correia,27,172,68,Brazil,86,86,46500000,175000,LCM
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,69,Parejo,Daniel Parejo Muñoz,30,182,74,Spain,86,86,41000000,69000,RCM
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,70,T. Müller,Thomas Müller,29,186,75,Germany,86,86,43500000,170000,SUB
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,71,C. Immobile,Ciro Immobile,29,185,85,Italy,86,86,44500000,105000,ST
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,72,A. Lacazette,Alexandre Lacazette,28,175,73,France,86,86,46000000,165000,ST
